n,fold_seed,lambda_nominal,lambda_r,lambda_eff,expectation_dm,cx,sx,x,rz,sxdg
1,1000,1.0,1.0,1.0,-0.8556676194847962,10,12,3,29,0
1,1000,1.5,1.6,1.5220462671095025,-0.8386959577504595,16,12,3,29,0
1,1000,2.0,2.0,1.8700771118491706,-0.8275886731698305,20,12,3,29,0
1,1001,1.0,1.0,1.0,-0.8556676194847962,10,12,3,29,0
1,1001,1.5,1.6,1.5220462671095025,-0.8386959577504595,16,12,3,29,0
1,1001,2.0,2.0,1.8700771118491706,-0.8275886731698305,20,12,3,29,0
1,1002,1.0,1.0,1.0,-0.8556676194847962,10,12,3,29,0
1,1002,1.5,1.6,1.5220462671095025,-0.8388664951281098,16,12,3,29,0
1,1002,2.0,2.0,1.8700771118491706,-0.8276436801977637,20,12,3,29,0
1,1003,1.0,1.0,1.0,-0.8556676194847962,10,12,3,29,0
1,1003,1.5,1.6,1.5220462671095025,-0.8386959577504595,16,12,3,29,0
1,1003,2.0,2.0,1.8700771118491706,-0.8275876124282454,20,12,3,29,0
1,1004,1.0,1.0,1.0,-0.8556676194847962,10,12,3,29,0
1,1004,1.5,1.6,1.5220462671095025,-0.8386959577504595,16,12,3,29,0
1,1004,2.0,2.0,1.8700771118491706,-0.8276436251907351,20,12,3,29,0
1,1005,1.0,1.0,1.0,-0.8556676194847962,10,12,3,29,0
1,1005,1.5,1.6,1.5220462671095025,-0.8388664951281098,16,12,3,29,0
1,1005,2.0,2.0,1.8700771118491706,-0.8275886731698305,20,12,3,29,0
1,1006,1.0,1.0,1.0,-0.8556676194847962,10,12,3,29,0
1,1006,1.5,1.6,1.5220462671095025,-0.8387531077989142,16,12,3,29,0
1,1006,2.0,2.0,1.8700771118491706,-0.8276436251907352,20,12,3,29,0
1,1007,1.0,1.0,1.0,-0.8556676194847962,10,12,3,29,0
1,1007,1.5,1.6,1.5220462671095025,-0.8387532211862434,16,12,3,29,0
1,1007,2.0,2.0,1.8700771118491706,-0.8276436801977637,20,12,3,29,0
2,1000,1.0,1.0,1.0,-0.6814605753090274,20,24,3,58,0
2,1000,1.5,1.5,1.4407651034481943,-0.659189566122949,30,24,3,58,0
2,1000,2.0,2.0,1.8815302068963884,-0.6385124382450568,40,24,3,58,0
2,1001,1.0,1.0,1.0,-0.6814605753090274,20,24,3,58,0
2,1001,1.5,1.5,1.4407651034481943,-0.6594509381846883,30,24,3,58,0
2,1001,2.0,2.0,1.8815302068963884,-0.639074238778088,40,24,3,58,0
2,1002,1.0,1.0,1.0,-0.6814605753090274,20,24,3,58,0
2,1002,1.5,1.5,1.4407651034481943,-0.6593194011558942,30,24,3,58,0
2,1002,2.0,2.0,1.8815302068963884,-0.638306174074011,40,24,3,58,0
2,1003,1.0,1.0,1.0,-0.6814605753090274,20,24,3,58,0
2,1003,1.5,1.5,1.4407651034481943,-0.6606835742091529,30,24,3,58,0
