n,fold_seed,primary_intercept,nominal_intercept,effective_intercept,clamp_flag,secondary_log,secondary_avoid_log,secondary_avoid_log_failed,shot_clamp_flag,shot_secondary_log,shot_secondary_avoid_log,shot_secondary_avoid_log_failed
1,1000,-0.8837302113332676,-0.8827691696074763,-0.8879254976720099,0,-0.883763029398763,-0.8838112234362765,0,0,-0.8843986766904378,-0.8844985623582252,0
1,1001,-0.8837302113332676,-0.8827691696074763,-0.8879254976720099,0,-0.883763029398763,-0.8838112234362765,0,0,-0.8788402303301068,-0.8788914097751388,0
1,1002,-0.8836933007738724,-0.8827618405341046,-0.8878776710486634,0,-0.8837515921861487,-0.8837972931257058,0,0,-0.8874022862048243,-0.8874786368958676,0
1,1003,-0.8837313558176093,-0.8827704071393256,-0.887926788045156,0,-0.883764342587033,-0.8838125306181631,0,0,-0.8878686611626072,-0.8879662764974727,0
1,1004,-0.8836709209949231,-0.882705058916421,-0.8878586495224727,0,-0.8836950035002141,-0.8837435628377315,0,0,-0.880473069363921,-0.8805253961279318,0
1,1005,-0.8837526504619054,-0.8828260154000264,-0.8879445861132658,0,-0.8838196871340818,-0.8838650133954231,0,0,-0.8906657651425619,-0.8905835787029516,0
1,1006,-0.8836784407381408,-0.8827241089325726,-0.8878650463919316,0,-0.8837139893368161,-0.8837615909287554,0,0,-0.8816757508743016,-0.8816667436271751,0
1,1007,-0.883678396307837,-0.8827240825534828,-0.8878649921684385,0,-0.8837139589159053,-0.8837615598876811,0,0,-0.8885340233000695,-0.8885343074112435,0
2,1000,-0.7241430654883001,-0.7241430654883001,-0.7299149118440453,0,-0.7271490922463909,-0.7271649533575602,0,0,-0.7457204809963365,-0.7453205696059088,0
2,1001,-0.7235747555536762,-0.7235747555536762,-0.7292711009312447,0,-0.7265001787028698,-0.7265168093982897,0,0,-0.7256590733561803,-0.7253245330848866,0
2,1002,-0.7244269853655014,-0.7244269853655014,-0.7302265517851513,0,-0.7274625174879885,-0.7274700464968105,0,0,-0.7303322039330399,-0.7303127359996325,0
2,1003,-0.7237513313445637,-0.7237513313445637,-0.7294206868221024,0,-0.7266465352099896,-0.7266237751608248,0,0,-0.7162165670960727,-0.7163303215168987,0
2,1004,-0.7238720799937947,-0.7238720799937947,-0.7295947927826608,0,-0.7268250338872544,-0.7268309958276988,0,0,-0.7187542692816307,-0.7188781286288504,0
2,1005,-0.7248000603233977,-0.7248000603233977,-0.7306155884690473,0,-0.727851705268517,-0.7278318429399178,0,0,-0.7253962560801694,-0.7255225501108449,0
2,1006,-0.7245079714331792,-0.7245079714331792,-0.7303125471915213,0,-0.7275487087280548,-0.727551542784641,0,0,-0.7435161592989329,-0.7433793687643663,0
2,1007,-0.724064189293503,-0.724064189293503,-0.7297908663392387,0,-0.7270206288790301,-0.7270094044253548,0,0,-0.7297426614037476,-0.7297156312403651,0
3,1000,-0.557240790300329,-0.5578318027783209,-0.5633529437641103,0,-0.5628451987704066,-0.5627811390126576,0,0,-0.5626590212492564,-0.5622389966544983,0
