n,fold_seed,lambda_nominal,expectation_shot,seed_simulator
1,1000,1.0,-0.85693359375,9100
1,1000,1.5,-0.8367106119791666,9101
1,1000,2.0,-0.8284912109375,9102
1,1001,1.0,-0.8539632161458334,9110
1,1001,1.5,-0.837890625,9111
1,1001,2.0,-0.8287353515625,9112
1,1002,1.0,-0.8575846354166666,9120
1,1002,1.5,-0.8382161458333334,9121
1,1002,2.0,-0.8274739583333334,9122
1,1003,1.0,-0.8602294921875,9130
1,1003,1.5,-0.840087890625,9131
1,1003,2.0,-0.8316650390625,9132
1,1004,1.0,-0.8544921875,9140
1,1004,1.5,-0.8379720052083334,9141
1,1004,2.0,-0.8282470703125,9142
1,1005,1.0,-0.8565673828125,9150
1,1005,1.5,-0.8447265625,9151
1,1005,2.0,-0.8250325520833334,9152
1,1006,1.0,-0.8529052734375,9160
1,1006,1.5,-0.8394775390625,9161
1,1006,2.0,-0.8252360026041666,9162
1,1007,1.0,-0.8557535807291666,9170
1,1007,1.5,-0.8398030598958334,9171
1,1007,2.0,-0.8241780598958334,9172
2,1000,1.0,-0.6826985677083334,9200
2,1000,1.5,-0.6627197265625,9201
2,1000,2.0,-0.6273193359375,9202
2,1001,1.0,-0.6767985026041666,9210
2,1001,1.5,-0.6640625,9211
2,1001,2.0,-0.6338704427083334,9212
2,1002,1.0,-0.6822102864583334,9220
2,1002,1.5,-0.6599527994791666,9221
2,1002,2.0,-0.6374104817708334,9222
2,1003,1.0,-0.6753743489583334,9230
2,1003,1.5,-0.6517740885416666,9231
2,1003,2.0,-0.6358235677083334,9232
2,1004,1.0,-0.6779378255208334,9240
2,1004,1.5,-0.6539713541666666,9241
2,1004,2.0,-0.6383056640625,9242
2,1005,1.0,-0.6833089192708334,9250
2,1005,1.5,-0.6587727864583334,9251
2,1005,2.0,-0.6425374348958334,9252
2,1006,1.0,-0.6851399739583334,9260
2,1006,1.5,-0.6611735026041666,9261
2,1006,2.0,-0.6322021484375,9262
2,1007,1.0,-0.6797281901041666,9270
2,1007,1.5,-0.6568196614583334,9271
2,1007,2.0,-0.6333414713541666,9272
3,1000,1.0,-0.50830078125,9300
3,1000,1.5,-0.4916585286458333,9301
3,1000,2.0,-0.4612223307291667,9302
3,1001,1.0,-0.5088704427083334,9310
3,1001,1.5,-0.4887288411458333,9311
3,1001,2.0,-0.4698893229166667,9312
3,1002,1.0,-0.514892578125,9320
3,1002,1.5,-0.4873860677083333,9321
3,1002,2.0,-0.46240234375,9322
3,1003,1.0,-0.5143229166666666,9330
3,1003,1.5,-0.4866129557291667,9331
3,1003,2.0,-0.4615071614583333,9332
3,1004,1.0,-0.50830078125,9340
3,1004,1.5,-0.4946695963541667,9341
3,1004,2.0,-0.4658610026041667,9342
3,1005,1.0,-0.5093587239583334,9350
3,1005,1.5,-0.4883219401041667,9351
3,1005,2.0,-0.4670003255208333,9352
3,1006,1.0,-0.5112711588541666,9360
3,1006,1.5,-0.4850260416666667,9361
3,1006,2.0,-0.469482421875,9362
3,1007,1.0,-0.5098063151041666,9370
3,1007,1.5,-0.4881591796875,9371
